,,,,,,,,,
,Inlet,Outlet,Weather,Weather,Weather,Weather,Weather,Weather,Weather
Weeks,BOD (mg/l),BOD (mg/l),tavg,tmin,tmax,prcp,wspd,wpgt,Relative Humidity
1,207,130,29.04,24.81,35.84,10.26,8.23,1009.16,65
2,198,121,27.53,24.07,34.1,7.44,8.04,1008.66,64.14285714
3,201,119,28.57,24.57,34.14,2.66,7.23,1008.76,64.85714286
4,210,122,28.04,24,34.17,13.11,7.5,1010.11,64.85714286
5,192,98,28.41,24.7,34.43,3.5,8.13,1010.11,65
6,187,88,27.81,23.96,33.2,0.84,8.9,1010.87,72.71428571
7,189,70,27.83,24.53,33.26,7.79,10.34,1009.54,73.71428571
8,195,62,26.41,24,29.71,4.51,10.73,1012.51,74.14285714
9,223,67,26.07,23.63,29.81,3.3,7.9,1008.73,73.66666667
10,215,56,27.84,24.07,32.57,0.86,8.84,1009.6,75.5
11,221,55,25.64,15.86,25.06,15.3,11.61,433.6,76.28571429
12,212,51,27.73,23.34,33.39,0.91,8.03,1011,76.14285714
13,177,46,26.9,23.5,32.43,4.51,8.56,1012.4,77.14285714
14,170,46,25.9,22.1,29.97,0.11,13.36,1012.89,76.85714286
15,175,46,25.84,21.87,30.34,0.76,12.06,1012.74,76.42857143
16,179,39,25.89,22.74,30.34,4.7,13.56,1012.49,77
17,208,44,26.1,22.63,30.51,0.44,12.71,1010.94,76.16666667
18,194,41,26.77,22.87,31.77,0.87,10.99,1011.16,76.85714286
19,202,42,26.89,21.21,33.06,0,11.14,1011.99,72.42857143
20,206,47,27.03,21.39,33.86,0,11.09,1012.39,71.28571429
21,165,36,27.51,22.09,34.14,0,11.77,1013.04,70.85714286
22,178,36,28.27,23.76,34.14,2.67,15.49,1012.5,70.85714286
23,171,38,29.3,23.86,36.03,0,8.65,1009.99,69.14285714
24,169,35,23.69,16.93,29.36,3.6,8.44,722.07,64
