Unnamed: 0,Inlet,Weather,Weather.1,Weather.2,Weather.3,Outlet,Season
1,150,23.0,0.0,6.2,65.96,44,Summer
2,150,24.2,0.0,5.0,67.83,44,Summer
3,150,25.1,4.4,6.9,65.88,42,Summer
4,181,23.7,0.0,7.5,63.51,54,Summer
5,189,23.0,0.0,9.8,64.96,54,Summer
6,179,23.2,0.4,11.5,63.68,56,Summer
7,150,24.7,1.4,10.6,61.75,47,Summer
8,150,23.3,2.4,11.4,64.35,39,Summer
9,152,23.6,0.0,10.0,62.39,46,Summer
10,160,25.0,0.0,7.6,62.44,47,Summer
11,186,26.4,4.3,5.4,62.46,51,Summer
12,213,25.8,3.9,6.4,63.31,64,Summer
13,230,26.6,2.0,7.5,64.06,49,Summer
1,267,28.1,0.0,10.1,62.33,54,Monsoon
2,229,27.9,0.5,10.9,64.06,56,Monsoon
3,206,27.9,1.1,12.0,64.61,51,Monsoon
4,221,27.7,0.5,13.2,63.84,61,Monsoon
5,232,29.1,2.2,11.6,66.77,68,Monsoon
6,194,28.2,4.4,11.5,67.24,56,Monsoon
7,165,28.9,2.0,14.2,70.07,58,Monsoon
8,193,28.5,0.0,12.0,68.03,62,Monsoon
9,206,27.6,0.0,11.0,67.36,76,Monsoon
10,232,26.8,0.9,9.7,67.74,74,Monsoon
11,231,27.1,0.0,10.0,66.25,81,Monsoon
12,224,28.3,0.0,11.7,66.7,81,Monsoon
13,215,29.1,0.0,10.2,64.98,76,Monsoon
